R1,R2,carry_κ,R_out,count,total,pct_%
"R1 [0,π/2[","R1 [0,π/2[",0,"R1 [0,π/2[",317,630,50.32
"R1 [0,π/2[","R1 [0,π/2[",0,"R2 [π/2,2π/3[",152,630,24.13
"R1 [0,π/2[","R1 [0,π/2[",0,"R3 [2π/3,2π[",161,630,25.56
"R1 [0,π/2[","R2 [π/2,2π/3[",0,"R2 [π/2,2π/3[",72,385,18.7
"R1 [0,π/2[","R2 [π/2,2π/3[",0,"R3 [2π/3,2π[",313,385,81.3
"R1 [0,π/2[","R3 [2π/3,2π[",0,"R3 [2π/3,2π[",2248,3185,70.58
"R1 [0,π/2[","R3 [2π/3,2π[",1,"R1 [0,π/2[",937,3185,29.42
"R2 [π/2,2π/3[","R2 [π/2,2π/3[",0,"R3 [2π/3,2π[",66,66,100.0
"R2 [π/2,2π/3[","R3 [2π/3,2π[",0,"R3 [2π/3,2π[",380,1001,37.96
"R2 [π/2,2π/3[","R3 [2π/3,2π[",1,"R1 [0,π/2[",557,1001,55.64
"R2 [π/2,2π/3[","R3 [2π/3,2π[",1,"R2 [π/2,2π/3[",64,1001,6.39
"R3 [2π/3,2π[","R3 [2π/3,2π[",0,"R3 [2π/3,2π[",134,4186,3.2
"R3 [2π/3,2π[","R3 [2π/3,2π[",1,"R1 [0,π/2[",1213,4186,28.98
"R3 [2π/3,2π[","R3 [2π/3,2π[",1,"R2 [π/2,2π/3[",584,4186,13.95
"R3 [2π/3,2π[","R3 [2π/3,2π[",1,"R3 [2π/3,2π[",2255,4186,53.87
