n_hex,p_hex,q_hex,pmin_hex,qmax_hex,k_n,k_pmin,carry,theta_n,alpha,beta,theta_n_tang,theta_p_tang,theta_q_tang
0xf499a5361aedaaffe041d0ac68705c01eb3d60e039e40009f3e6cb04d401d87bd83f3e1c3eaa21239ead7c19bc57830b46f60cc2b88f8c6bd38247579cfb75e7756955e68a63ec89be13ff59da7156e4853cbb2a25ac42215e51ffe482712ade55efda6a7525f5468df65d649da2fd06ae04330810bacab2680a6b47310d42c3,0xf7c1bd874da5e709d4713d60c8a70639eb1167b367a9c3787c65c1e582e2e662f728b4fa42485e3a0a5d2f346baa9455e3e70682c2094cac629f6fbed82c0857,0xfcbd04c340212ef7cca5a5a19e4d6e3c1846d424c17c627923c6612f4826867323a7711a8133287637ebdcd9e87a1613e443df789558867f5ba91faf7a024575,0xf7c1bd874da5e709d4713d60c8a70639eb1167b367a9c3787c65c1e582e2e662f728b4fa42485e3a0a5d2f346baa9455e3e70682c2094cac629f6fbed82c0857,0xfcbd04c340212ef7cca5a5a19e4d6e3c1846d424c17c627923c6612f4826867323a7711a8133287637ebdcd9e87a1613e443df789558867f5ba91faf7a024575,1023,511,1,-3.083475717394007,1.5126793905991098,-1.4224529417692138,-0.41292064244293947,-0.296686770051366,-0.11623387239157523
0xa3efa891592cdd4775305193db841a6c8704f85814d321abd91a844301567c349c29290fdf81e6796f9f7aa1b1358d1089e19682341841b15ec5c21e82cc40e1cbf0c01128dd7b18a6cf734acfd124209fe2913829cd615164023aa63e43279a068303eba8a7248839b7f368bb8a44fc1bbe30018731dfd007b4afff677e48ed,0xc5776e9add84f39e71545a137a1d50068d723104f77383c13458a748e9bb17bca3f2c9bf9c6316b950f244556f25e2a25a92118719c78df48f4ff31e78de5a15,0xd487ce1eaf19922ad9b8a714e61a441c12e0c8b2bad640fb19488dec4f65d4d9259f4329e6f4590b9a164106cf6a659eb4862b21fb97d43588561712e8e52179,0xc5776e9add84f39e71545a137a1d50068d723104f77383c13458a748e9bb17bca3f2c9bf9c6316b950f244556f25e2a25a92118719c78df48f4ff31e78de5a15,0xd487ce1eaf19922ad9b8a714e61a441c12e0c8b2bad640fb19488dec4f65d4d9259f4329e6f4590b9a164106cf6a659eb4862b21fb97d43588561712e8e52179,1023,511,1,-2.29815673866332,0.7273604118684229,-0.3941578543802633,2.2430365324973742,-2.3532769448292656,-1.6868718298529464
0xd9ba511bcd5cd878908765def8e9b2ea7f1ca9540c960dbd240dba587dd010108733c928f1623e04efe373f9c04d01561ef8fade40e70eceabc03597b1f6b27fb35c91cc8fc162c11dfa2e645d4df275d5c5c7d2af6af59469cae2dd07c84d34df65fd8945a3952a744f1dd8fc6b4cef41da9c31ff6859d0a7fed1cdc95aba8f,0xe0116be5ab0c1681c8f8e3d0d3290a4cb5d32b1666194cb1d71037d1b83e90ec17e0aa3c03983ca8ea7e9d498c778ea6eb2083e6ce164dba0ff18e0242af9fff,0xf8c1962e9148624feac1c14f30e9c5cc101fbcccded733e8b421eaeb534097cabaf3897a3e70f16a55485822de1b372ad3fbf47a7e5b1e7f9ca5499d004ae571,0xe0116be5ab0c1681c8f8e3d0d3290a4cb5d32b1666194cb1d71037d1b83e90ec17e0aa3c03983ca8ea7e9d498c778ea6eb2083e6ce164dba0ff18e0242af9fff,0xf8c1962e9148624feac1c14f30e9c5cc101fbcccded733e8b421eaeb534097cabaf3897a3e70f16a55485822de1b372ad3fbf47a7e5b1e7f9ca5499d004ae571,1023,511,1,-3.011495095554635,1.4406987687597388,-0.9669607159982294,-1.4678663376636498,-1.2076712215933334,-0.26019511607031554
0xc9e7891e924e7b492591e52c236fe15f72eea755226010110dafdc72c955d0ad08b42830101c9f5bd59e5f8f105320d42fd0903ce94da303b549ce64cae79e79511eb95d965be5beefa7de11697d331f065ae80306008ea48ef4a05e497f78c75ab9f95ebbbb79d8ba64cb46959510d04b8272026cf15b0d495c1950ed4250bf,0xcc1745a79a6a5f92cca74147f6be1f723405095c8a5006c1ec188efbd080e66e552f233a8c25166a1ff39849b4e1357d4a84eb038d1fd9b74d2b9deb1beb3753,0xfd41e602eece328bff7b118e820865d6e005b86051ef1922fe43c49e149818d11759edc372ae22448b0163c1cd9d2b7d247a8333f7b0b7d2cda8056c3d15ef65,0xcc1745a79a6a5f92cca74147f6be1f723405095c8a5006c1ec188efbd080e66e552f233a8c25166a1ff39849b4e1357d4a84eb038d1fd9b74d2b9deb1beb3753,0xfd41e602eece328bff7b118e820865d6e005b86051ef1922fe43c49e149818d11759edc372ae22448b0163c1cd9d2b7d247a8333f7b0b7d2cda8056c3d15ef65,1023,511,1,-3.092774517861731,1.5219781910668342,-0.5437094506631204,-2.1518100237196753,-2.0541737522635515,-0.09763627145612297
0xa66a6eb976a3b68065e74262aa9ad2028e6e12614cac767e28ecda830be4e57fc62eb7793f136f95770500d24a3e5c4733dda239b68d7085b0ae3d7bee6870f3fe852dd4392306a3156fc034a35e0f7d52f8347ed8ab0adfa0d9a8f011a44e7346e4a9a470745f55028ccc59369e7b93e5c18431ce749e67ba4ca2dbc158ff73,0xc870e15c2fcd81b5d24bace4307bf3262f1205544a5308cc3dfabc08935ddd725129fb7c6288e1a5cc45782198a6416d1775336d71eacd0549a3e80e966e12e3,0xd48b2758d7ab792809e469e6ec62b2c82648ee38e07405eb215663abc1f254b8adc0da7a16febaa011af923d79fdef7c42930b33a81ad477fb3675b89cdeb631,0xc870e15c2fcd81b5d24bace4307bf3262f1205544a5308cc3dfabc08935ddd725129fb7c6288e1a5cc45782198a6416d1775336d71eacd0549a3e80e966e12e3,0xd48b2758d7ab792809e469e6ec62b2c82648ee38e07405eb215663abc1f254b8adc0da7a16febaa011af923d79fdef7c42930b33a81ad477fb3675b89cdeb631,1023,511,1,-2.2984356754600594,0.7276393486651629,-0.4619190154202606,2.379116728170846,-2.217754622749273,-1.6863139562594682
0xf2c1f4a6134aaaa731284d47e79c2f3022daaed93bc86ccb2110894f65942f95c5fd03f446e94c58c5d3851b7a9c2923060a79aa4d5a99780fd5aa5b747701e0179e748904634e29c5746509846c2713c466055b85b92d1f772f1e53c473955369ca1b71e686e9788e992ab752f1b84efcefe8b6ba1361fda588a263768c3d35,0xf7176e84d977e9933c49d76fcfc6e62585940927468ff53d864a7a50b48d73f1d67e55fd642bfa42aef9c00b8a64c1b9d450fe4aec4f217bb306d1a8e5eeac81,0xfb82860deabca8d0b341facdff0ac0f1a425799aa905d7507e1ea9c573581a81467437419466e4726b5f5241f323ca74d344749096fd35d0adf20806e52146b5,0xf7176e84d977e9933c49d76fcfc6e62585940927468ff53d864a7a50b48d73f1d67e55fd642bfa42aef9c00b8a64c1b9d450fe4aec4f217bb306d1a8e5eeac81,0xfb82860deabca8d0b341facdff0ac0f1a425799aa905d7507e1ea9c573581a81467437419466e4726b5f5241f323ca74d344749096fd35d0adf20806e52146b5,1023,511,1,-3.0613913676332443,1.4905950408383486,-1.410266434424674,-0.48146235665354453,-0.32105978474044683,-0.1604025719130977
0xbf38d95261708616e3e320bf001ce37ecca570c00a7cace78d2a7ce437f792213cc401ef354f822b0e75ea0b4e8e2d3eb1cf08bb943d864b1bdfbd80ad14875c1bead36b64170ff1a0373110c543a5d5cf77bed980391bcd8e447275f6d9ab881a96f488b7e54e033670ca6cf56e7a2547c4ba71c94854ca75df49b52d9a9321,0xc562be7fbb42e0b20426465e3e37952d30bcab0ed857010255d44936a1515607964a870c7c879b741d878f9f9cdf5a865306f3f5151665705b7c709acb175b0d,0xf8018b47b29a8b06daf66c5f2577bffac87a746319c16a0d0febd845d0dfae436d16ee18552116dd2ba4b180cb69ca385f3f563838701a14b490b6081dfc8365,0xc562be7fbb42e0b20426465e3e37952d30bcab0ed857010255d44936a1515607964a870c7c879b741d878f9f9cdf5a865306f3f5151665705b7c709acb175b0d,0xf8018b47b29a8b06daf66c5f2577bffac87a746319c16a0d0febd845d0dfae436d16ee18552116dd2ba4b180cb69ca385f3f563838701a14b490b6081dfc8365,1023,511,1,-2.997806346922899,1.4270100201280025,-0.3923026296154277,-2.644560007692726,-2.3569873943589377,-0.28757261333378814
0xcdb9df97f87d05a339351067208f5691a088fa26ca5b183f2a5c25fc5a266b81d84462f8553f5c9e73033fa6764f18a9d56107025c902ef3e1499c234c448e0ae4f1996119ff24bb8c39c3076d6d3a3ad0ee78d520096d4bbc9932ec15750ad080289e77d64dd77f55d0b21a04645aadf302fef7b4cb4ddfcdece1ebf2dabf65,0xd480865f9b38fe803042e325a28f5ab01fdb8b3206d599e812f175ffae3b16ec9a27d85888c132adefbfc19ee8f6cf32a25b59fd92e8e269d12ecbc40b94763d,0xf7d6467b2f5a522af87f43fdf606254131d0b6640589f8779b0252440950fd131db53334fb0323a1d576d4155ec17dbe176ea1b164264cd51ea45cd69371a849,0xd480865f9b38fe803042e325a28f5ab01fdb8b3206d599e812f175ffae3b16ec9a27d85888c132adefbfc19ee8f6cf32a25b59fd92e8e269d12ecbc40b94763d,0xf7d6467b2f5a522af87f43fdf606254131d0b6640589f8779b0252440950fd131db53334fb0323a1d576d4155ec17dbe176ea1b164264cd51ea45cd69371a849,1023,511,1,-2.9947164461120654,1.4239201193171693,-0.726753900264125,-1.9818372680169993,-1.688084853061544,-0.29375241495545623
0xbb19019d20c7b9e682df744cc6b3a789bfa8903e4d6704feb5e9e02e6551fc8193374f7b19b78ade4528e17ee2b761257915abcb51fafd1c8ee3d5df6dc0ba713f3ce7972f362162a5db5b546fa373efe40d968b4c77cc140d4cb8f31d9fab54ff7de9fd01a06360b4972e1ea0dc427eb48a1f1137fb6dfe0bf786002c39d767,0xd1ebcd49428a1c22d5fdb76a19fbeb1d9edfa3da6cf55b158b53031d05d51433ade9b2b4efdd35f80fa34266ccfdba9bba26d85135e8579a7aaf0e891fb79943,0xe42aad48fcfcfa81b306d70019d5f97098b33c6e0a14b90a7795e98680ee526e0fa07a3f2e2950656fa231e959acdd984d125e7fa59cec98126cbc8f3888450d,0xd1ebcd49428a1c22d5fdb76a19fbeb1d9edfa3da6cf55b158b53031d05d51433ade9b2b4efdd35f80fa34266ccfdba9bba26d85135e8579a7aaf0e891fb79943,0xe42aad48fcfcfa81b306d70019d5f97098b33c6e0a14b90a7795e98680ee526e0fa07a3f2e2950656fa231e959acdd984d125e7fa59cec98126cbc8f3888450d,1023,511,1,-2.6199138618196183,1.0491175350247222,-0.6713689771606792,-2.8422122828087835,-1.7988546992684338,-1.0433575835403488
0x95ecb5729a682f2ef8f1fa5a8756918be4ddc8ddc30b8ad2865ba8f6896bc1a326723613e806da3364ee9bb5a36d523c7a08a2df1fc58dd9f45a533d15a7a4a37c8d4729d7f62bf10a17eb64feb306f9111775cc1cdfb1e7f24009c82a45e85dfd47437ae70575b29d4f1deba3cff31ede2b099e1c0f13647c9dabd5f7b45ead,0xc361524c2cc0f859aa6524ab713b7e05ebe2136898c752051e01a934402d0baf878b9f6b57a1cb712975d279d86dbf1128805c5dad1b8f60c9e4dab20edc6d73,0xc470f0e7f76fbfb83412fc12ac322c12b29c467d2b5f693291dc59efeb21a3f6e6fd68e8d69c91c278601602bb4a06cbe786ab375bca47be429817c53308fb5f,0xc361524c2cc0f859aa6524ab713b7e05ebe2136898c752051e01a934402d0baf878b9f6b57a1cb712975d279d86dbf1128805c5dad1b8f60c9e4dab20edc6d73,0xc470f0e7f76fbfb83412fc12ac322c12b29c467d2b5f693291dc59efeb21a3f6e6fd68e8d69c91c278601602bb4a06cbe786ab375bca47be429817c53308fb5f,1023,511,1,-1.9413583445754146,0.370562017780518,-0.3460155803604592,1.4331551962819535,-2.4495614928688756,-2.400468618028757
